,fbref_id,Name
0,d0f72bf1,Max Kilman
1,2b471f99,Mario Lemina
2,7ba2eaa9,Pedro Neto
3,903b6e8b,José Sá
4,d04b94db,Nélson Semedo
5,dc62b55d,Matheus Cunha
6,3e9e06cb,Craig Dawson
7,8b57ad2c,João Gomes
8,9b398aea,Rayan Aït Nouri
9,e6af02e0,Matheus Nunes
10,e7aa9d7c,Fábio Silva
11,9744ff80,Pablo Sarabia
12,169fd162,Hwang Hee-chan
13,bfc3b3a0,Hugo Bueno
14,f0caab96,Toti Gomes
15,15f24fe7,Sasa Kalajdzic
16,68db6358,Daniel Bentley
17,e28868f3,Jonny Castro
18,d557d734,Matt Doherty
19,bd8a5d95,Joseph Hodge
20,999ceb5f,Boubacar Traoré
