,fbref_id,Name
0,466fb2c5,Aaron Ramsdale
1,972aeb2a,William Saliba
2,35e413f1,Ben White
3,1c7012b8,Declan Rice
4,bc7dc64d,Bukayo Saka
5,79300479,Martin Ødegaard
6,48a5a5d6,Martinelli
7,fed7cb61,Kai Havertz
8,529f49ab,Thomas Partey
9,a53649b7,Eddie Nketiah
10,b3af9be1,Takehiro Tomiyasu
11,dc3e663e,Jakub Kiwior
12,38ceb24a,Leandro Trossard
13,41034650,Jurriën Timber
14,51cf8561,Oleksandr Zinchenko
15,6412cc03,Fabio Vieira
16,67ac5bb8,Gabriel Dos Santos
17,45db685d,Jorginho
18,b66315ae,Gabriel Jesus
19,aa81d8f8,Karl Jakob Hein
20,c5bdb6e3,Reiss Nelson
21,98ea5115,David Raya
22,17695062,Emile Smith Rowe
